block,condition,tr_num,phase_num,left_image1,right_image1,left_image2,right_image2,audio1,audio2,audio1_dur,audio2_dur,target_side,correct_response,alien,name,background
1,referent first,1,1,mercury,A1,mercury,venus,first-his,akar-vis,6000,6000,R,1,A1,akar,black-background
1,referent first,2,2,I1,jupiter,mars,jupiter,next-her,gazzer-vis,6000,6000,L,0,I1,gazzer,black-background
1,referent first,3,3,J3,neptune,saturn,neptune,another-his,broost-vis,6000,6000,L,0,J3,broost,black-background
1,referent first,4,4,C1,venus,neptune,venus,next-her,trag-vis,6000,6000,L,0,C1,trag,black-background
1,referent first,5,5,mars,A33,mars,mercury,last-his,mothi-vis,6000,6000,R,1,A33,mothi,black-background
2,referent first,21,6,jupiter,E3,jupiter,saturn,first-her,koba-vis,6000,6000,R,1,E3,koba,black-background
2,referent first,22,7,C24,neptune,mercury,neptune,next-her,glark-vis,6000,6000,L,0,C24,glark,black-background
2,referent first,23,8,C31,jupiter,venus,jupiter,another-his,tulver-vis,6000,6000,L,0,C31,tulver,black-background
2,referent first,24,9,saturn,B2,saturn,mars,next-his,heab-vis,6000,6000,R,1,B2,heab,black-background
2,referent first,25,10,venus,E1,venus,saturn,finally-her,eget-vis,6000,6000,R,1,E1,eget,black-background
3,simultaneous,41,11,jupiter,B34,jupiter,mars,darg-phono,where-she,6000,6000,R,1,B34,darg,black-background
3,simultaneous,42,12,neptune,H3,neptune,mercury,upos-phono,where-he,6000,6000,R,1,H3,upos,black-background
3,simultaneous,43,13,B4,jupiter,mercury,jupiter,leche-phono,where-she,6000,6000,L,0,B4,leche,black-background
3,simultaneous,44,14,mars,D3,mars,venus,nera-phono,where-he,6000,6000,R,1,D3,nera,black-background
3,simultaneous,45,15,A25,saturn,neptune,saturn,virdex-phono,where-she,6000,6000,L,0,A25,virdex,black-background
4,simultaneous,61,16,A28,mercury,saturn,mercury,chatten-phono,where-he,6000,6000,L,0,A28,chatten,black-background
4,simultaneous,62,17,jupiter,I4,jupiter,venus,foom-phono,where-he,6000,6000,R,1,I4,foom,black-background
4,simultaneous,63,18,A3,neptune,mars,neptune,osid-phono,where-she,6000,6000,L,0,A3,osid,black-background
4,simultaneous,64,19,J2,mars,mercury,mars,yok-phono,where-he,6000,6000,L,0,J2,yok,black-background
4,simultaneous,65,20,venus,B23,venus,neptune,sibu-phono,where-she,6000,6000,R,1,B23,sibu,black-background
5,name first,81,21,saturn,jupiter,saturn,B26,wiso-phono,there-she,6000,6000,R,1,B26,wiso,black-background
5,name first,82,22,jupiter,mercury,jupiter,D1,zeb-phono,there-he,6000,6000,R,1,D1,zeb,black-background
5,name first,83,23,neptune,mars,C30,mars,colat-phono,there-he,6000,6000,L,0,C30,colat,black-background
5,name first,84,24,saturn,venus,C26,venus,edoz-phono,there-he,6000,6000,L,0,C26,edoz,black-background
5,name first,85,25,venus,mercury,G3,mercury,juss-phono,there-she,6000,6000,L,0,G3,juss,black-background
6,name first,101,26,mars,saturn,C27,saturn,wilp-phono,there-she,6000,6000,L,0,C27,wilp,black-background
6,name first,102,27,neptune,jupiter,neptune,K1,pizer-phono,there-he,6000,6000,R,1,K1,pizer,black-background
6,name first,103,28,mercury,saturn,mercury,A35,smosh-phono,there-she,6000,6000,R,1,A35,smosh,black-background
6,name first,104,29,venus,mars,venus,B28,isot-phono,there-she,6000,6000,R,1,B28,isot,black-background
6,name first,105,30,jupiter,neptune,L1,neptune,regli-phono,there-he,6000,6000,L,0,L1,regli,black-background
